"CO","tin_oxide","Benzene","Titan","NOx","Tungsten.oxide","NO2","Tungsten","Indium.oxide","Temperature","Relative.Humidity","Absolute.Humidity"
6.4,1082.4,38.4,824.4,419.7,1191.3,204.2,1039.1,1403.9,5.2,62.1,2.5
7,1270.5,42.2,998.7,400.8,1112.8,218,1339.8,1899,-0.7,92.4,2.7
6.2,1100.3,38.7,972.6,248.8,917.2,136.8,1703.9,1444.6,12.9,47.6,3.2
5.5,974.3,36.9,840.2,266.3,1172.5,157.2,1734.9,1085.4,13.6,70.4,3.6
5.9,967,35.1,717.3,390.3,1137.7,167.6,955,1311.5,9.3,63.3,3
6.5,1154.8,38.9,990.8,419.7,861.8,290.7,1061.9,1907.3,2.9,59.1,2.2
7.5,1211.1,46.6,1218.3,439.7,553.2,255.9,1583.6,1812.9,12,48.9,2.8
6.4,1154.7,39.3,957.8,462.8,769.6,220.1,1099.3,1654.4,10.2,70.2,3.1
7.3,1051.7,41.1,931.7,431,1083.9,246.2,1278.7,1765.3,1.1,90.5,2.7
5.5,748.8,34.1,623,281.4,1540.3,151.5,1120.2,942.8,2.7,92.2,2.7
7.1,1183.9,42.2,1097.9,345.8,981.7,196.6,1552.9,1521,11.9,63.5,3.2
7.7,1414.3,48.9,1314.4,322.9,602.4,181.8,2365.9,1998.2,16.2,68.4,4.1
5.1,964.7,33.3,778.1,173.4,969,149.6,1482.7,1226,13.7,62.6,3.4
5.5,938.2,29.6,488.6,372.9,1278.4,133.5,925.4,1069.5,3.6,96.8,3
7.9,1348.7,48.8,1276.7,395.3,761.8,276.2,1769.1,2040.1,13.8,45.9,2.8
7.6,1333.6,48.6,1212.6,418.6,791.1,192.4,1797.9,1800.5,13.7,71.6,3.6
4.4,995.6,31.4,727.7,164,1063.6,140,1383.7,1125.1,13.4,66.3,3.4
7.2,1200.7,44.6,1087.5,403.8,896.8,205.5,1552.1,1689,8.8,63.4,3
6.9,1222,38.1,879.6,315.8,1124.4,141.1,1607.5,1799.6,5.3,97.7,3.5
6.7,999,37.1,786.1,373.8,1086.1,166.8,976.3,1357.7,-1.6,96.8,2.4
5.6,631.1,34.9,739.1,413.8,1309.7,216.4,814.2,885.6,10.9,35.5,2.4
6.1,1008,33.6,665.2,261.2,1319.5,192.8,1094.2,1107.2,5.3,78.6,2.8
7.6,1221.5,45.1,1128.6,447.9,943.9,203.2,1341.8,1843.4,3.6,77.7,2.6
6.4,1043.9,37.4,864.4,348.3,1207.4,157.8,1245.8,1438.8,6.4,66.3,2.8
5.2,867.8,34.9,756.9,290.3,1171.5,200,971.6,1362.8,4,73.6,2.6
4,815.5,29.3,424.9,273.3,1323.5,128.8,812.4,894.6,6.3,71.6,2.9
4.8,991.1,31.4,704.9,266.5,1071.4,208.1,1107.7,1250,8,77,3.1
5.8,1107.6,38,818.2,274.3,1277.4,129.6,1484.6,1046.3,8.1,74.1,3.2
4.8,684.8,31.5,698.7,321.4,1146.3,202.3,675.4,1151.7,7.5,29.6,2
6.4,1111.3,37.3,755.3,383.5,1194.2,160.7,1336.6,1452.3,8.5,82,3.2
7.6,1336,50.4,1331.3,474.3,770.7,222.9,1789.7,2047,8,83.2,3.2
5.7,987.1,39.3,926.9,223.8,1222.1,158.7,1848.7,1123.4,14.2,70.5,3.7
4.8,892,31.6,647.1,283.5,973.7,199.9,1024.8,1301,5.1,76.6,2.7
4.5,793.3,27.8,520.2,161.7,1467.2,140.8,1182,1071.5,6.8,71.8,3
6,1117.7,42.1,1112.9,244.2,762.4,147.7,1877.1,1400.4,16.7,60.3,3.7
9.4,1449.9,51.6,1355.6,589.1,589.6,340.1,1356.7,2405.7,4.6,61,2.5
6.8,1211.2,47.3,1186.5,420.1,723.4,250.2,1633.2,1646.3,7.6,69.8,2.9
4.6,845.5,24.4,422.9,226,1137.1,164.5,894.5,1043.8,7.7,64.8,3.2
5.4,1031.3,36.1,812.6,319.7,780.6,228.2,1168.6,1450.3,8.9,55.7,2.8
6.4,981,37.3,815.2,424.9,1026.3,181.5,1158.2,1238.7,7.7,76.2,3
7.6,1037.8,43.7,1044.2,328,1233.3,164.8,1668.1,1380,8.9,59.3,2.7
3.9,887.2,27.9,632.2,143.1,970.4,115.9,1299.2,819.5,12.7,68.7,3.5
7.3,1160.7,41.1,1005.4,292.5,936.5,171,1489.8,1435.2,13,43.6,3
5,815.4,33.1,591.6,262.2,1471.9,141.8,1225.5,1047.8,7.6,67.4,3
3.8,829.1,28.6,605.3,186.1,1286.6,174.3,981.8,720.4,7.4,51.7,2.5
6.3,1083.5,38.9,916.6,279.6,1029.9,119.1,1788.9,1286.3,16.1,77.8,3.9
9.4,1475.2,50.2,1303.7,405.9,843.5,241.5,1669.3,1958,9.1,70,2.7
6.7,1053,44.8,1060.2,316.7,1193.2,172.4,1472.8,1100,10.3,48.7,2.8
8.1,1429.3,51.9,1411.9,421.7,669.7,214.9,2050.5,2079.9,13.9,68.7,3.5
5.5,1009,36,777.5,274.1,1219.6,197,1100.5,1238.3,6,67.9,2.9
7.9,1256.8,46.3,1178.7,424,763.9,272.9,1790.9,1553.4,13.6,56.5,3.3
7.4,1442.7,46.9,1259.5,510.9,619.1,288.4,1483.6,1981.5,6.8,63.6,2.6
7.4,1266.1,45.3,1136.1,366.6,554.9,232.7,1568.8,1866.3,5,80.4,3
5,1025.7,36.8,847.8,254.5,827.3,147.3,1580.3,1331.7,14.1,74.6,3.6
7.1,1246,46.3,1287.8,409.8,734.5,230,1989.1,1877.7,13.1,49.2,3.2
3.5,642.1,23.6,342.3,262.7,1528.9,125.9,759.5,790.2,6.4,79.2,3
6.9,1290.4,44.7,1138.6,433,667.4,185.7,1724.9,1766.3,13.8,75.6,3.6
5.3,776.9,30.1,581.1,334.6,1327.6,211,883.5,1063.1,3.9,80.9,2.6
6.5,1106.9,39.4,974.2,360.3,993,258.8,1389.3,1573.7,8,61.7,2.8
6.7,993.5,40.6,981.7,420.6,984.7,221.6,1008.7,1408,3.7,54,2.2
5.9,981.5,39.2,881.1,296.9,1234.7,123,1693.2,1235.6,14.2,49.7,3.6
5,1099.7,33.8,749.3,103.4,1091.2,137.8,1867,1280.1,18.7,64.3,3.8
5.3,792.9,34.6,713.7,120.9,1240.9,134.6,1675.6,575.1,17.3,46.1,3.5
6.7,1119.4,40.3,963.1,412.6,944.8,233.5,1062,1606.9,1,67.5,2.4
5.4,907.6,34.3,731.6,308.1,1016.7,235.5,1213.8,1151.5,13.2,62.3,3.2
9.4,1575,55.1,1375.4,442.7,594.9,221.8,1996.4,2103.7,13.3,63.8,3.3
4.4,851.9,30.4,540.4,309.3,1261.5,199.8,854.6,863.5,5.7,71,2.7
5.6,1057.4,35.9,770.4,239.9,1262.3,128.8,1466.8,1046.7,6.5,87,2.9
5.5,921.3,37.9,805.9,232.2,1487.4,151.8,1416.1,1108.6,14.1,33.1,2.7
7.3,1260.6,42.5,997.1,352.5,619.4,173,1759.8,1445.7,10,106.7,3.8
4.4,749.7,28.8,565.5,75.9,1530.2,98.7,1470.5,756.8,15.9,51.1,3.3
7.1,1252,45.1,1167.8,489.9,769.1,277.4,1401.2,1619.8,6.7,81.6,2.8
8.3,1107.3,45.1,1143,518.2,996.6,266.7,1250.5,1814.8,3.8,73.8,2.6
6.5,1272.1,44.1,1168.8,437.1,578.7,255.5,1596.8,2117.2,12.6,50.3,3
6.6,1243,42.3,976.5,400.3,954.4,237.6,1402.1,1697.1,6.6,75.9,2.9
5.5,1066.1,37.6,832.8,372.9,1037.3,223.4,1230.2,1621.4,2.8,76,2.6
7.7,1257.2,41.1,959.8,288.3,937.4,195.2,1598.3,1734.8,11.5,63.2,3.2
6.8,1031.1,39.9,966,318.1,892,207.3,1356.4,1590.8,11.1,49.9,2.8
7.3,1128.5,46.3,1106.9,312.3,739.9,190,1707.7,1780.9,11.9,66.4,3.3
5.7,1021.5,38.7,839.6,230.2,1294,119.9,1312,1290.8,6,55.3,2.7
6.3,1005,38.8,857.6,260.4,1136.8,154.2,1442,1085.5,11.2,67.5,3.3
6.4,1212.7,41.8,994.3,163.9,778.7,161.9,1899.5,1391.8,14.9,59.7,3.3
8,1573.6,49.6,1286.1,569.5,367,352.5,1318.8,2231.6,3.7,66.9,2.4
7,1242.2,42.2,1014.3,405.4,894.8,159.1,1702.4,1836.7,11.7,87.9,3.5
7.4,1125.4,45.4,1108.4,420.4,768.3,228.5,1507.7,1812,9.8,72.2,3.3
5.9,883.4,37.9,757.8,256.8,1483,117.3,1316.9,1150.8,10.2,48.9,2.7
6.8,1174.9,43.9,1014.9,405.2,1041,174.4,1490.2,1681.2,10.2,75.4,3.1
5.1,938.3,34.3,776.2,209,950.8,197.8,1238.3,1361.3,8,63.7,2.9
5.9,1059.9,39.9,994.7,360.6,871.3,203,1301.1,1534.5,6.2,68,2.7
5.8,1260.4,40.6,1013.2,390.6,985.6,220.5,1156.8,1906.9,2.8,81.9,2.4
9.2,1704.3,51.7,1351.1,561.3,333.3,303.3,1806.3,2331.2,4.5,114.9,3.5
7.4,1409,46.4,1262,395.7,729.4,245.4,1930.3,2351.4,10.9,66.8,3.2
8.2,1265.7,45.3,1070.6,391.7,815.5,197.8,1658.1,1831,6.9,93.1,3.2
7.1,1331.6,39.9,940.6,315.9,1066.2,177.3,1723.5,1782.7,6.1,83,3.1
4.2,735.1,27.6,416,182.8,1479.2,65.6,1286.5,787,6.7,97,3.4
7.4,1235.1,44.5,1043.7,358.2,1080.4,140.5,1883.3,1629.1,12,90.7,3.8
7.1,1221.8,43.6,1103.8,300.6,923.2,228.6,1730.3,1654.9,10.3,66.1,3.1
7.1,1083,44.3,999.9,295.9,973,149.6,1466.8,1519.7,8.1,57.8,2.7
6.8,1037.5,44,1003.1,252,1386.8,133.8,2049.8,1468.8,15.2,53.5,3.4
8.3,1303.2,43.9,1163.4,467.3,739.3,284.1,1310.9,1836.9,3.1,78.5,2.3
6.1,1129.5,38.4,912.6,267.4,1217.2,158.9,1438,1415.7,9.6,63.9,2.9
6.8,1054.3,45.9,1155.5,371.9,1070.3,156.3,1946.9,1657.3,12.9,84.2,3.6
6.3,939.9,34.6,728.5,297,1299.2,226.3,1141.5,1112,7.7,64.4,2.7
6,1157.4,42.1,1003.6,219.4,1014.1,207.7,1858.8,1614,10.8,49.8,3.1
7.4,1261.2,43.6,1072.1,366,1014.9,228.5,1731.7,1715.7,10.6,66.3,3.2
3.7,904.7,23.6,422.3,207.1,1083,119.4,825.8,974.5,7.1,78.9,3.1
6.9,1103.8,43.4,953.6,386.4,1146.1,176.1,1500.6,1658.2,11.3,60.1,3.2
7.1,1115.8,45.1,1124.6,480.9,912.8,227.8,1563.7,1572.7,11.9,65,3.3
6.5,1103.8,41.9,1019.7,333,1125.7,192.8,1492.3,1721.5,7.6,56.8,2.6
4.4,707.6,29.9,526.4,154,1458.9,108.6,1211.6,592.2,12.2,50.6,3
6.5,1109,45.9,1129.8,323.3,1333.3,177.4,1773.4,1670.4,9.7,65.5,3
5.7,1101.1,41,962.3,352.4,1066.1,186.4,1558.8,1460.4,10.5,73.2,3.2
8,1318.2,44,1110.7,435,725.9,297.2,1193.9,1892.1,4.8,76.7,2.6
8.4,1307,47.7,1130.4,546.3,655.7,279.8,987.1,1867.2,2.1,54,2.2
4.3,895.6,26,466.2,263.2,1319.6,179.4,741.4,1181.8,2.8,82.6,2.7
5.8,1118.8,35.7,770.7,345.8,1025.9,180,1220,1337.8,6.1,86.9,3.2
7.8,1249.7,47.8,1240.3,582.9,473.2,231.8,1471.2,2037.7,7.4,78.5,3
6,979.4,35.7,779.8,389.1,1287.9,172.8,1222.6,1120.7,-1.2,111.4,2.7
7.8,1103.1,44.8,1165,401.9,930.5,240.3,1558.3,1705.2,9.1,61.4,2.8
6.7,1238.1,38.1,918.8,333.6,774.4,247.2,1383.8,1501,4.9,88.4,2.8
4.9,826.5,29.8,567.3,184.8,1155.5,134.9,1159.3,979.3,12.6,51.9,3
6.6,1037.3,41.5,1043,246.9,1300.7,151.7,1834.5,1143,14.7,51.8,3.2
5.7,823.8,35.3,618.2,343.1,1526.6,190.8,945.9,966.2,-0.4,76,2.1
3.2,733.7,23.6,453.7,57.5,1186.3,108.9,1259.5,688.8,16,57.4,3.6
7.2,1419.2,48.3,1235,484.7,557.9,210.8,1708.4,2096.4,9,87.5,3.4
7.6,1226.5,43,1025.5,373.1,867.3,259.7,1343.6,1628.4,6,67.9,2.4
7.9,1272.4,46.6,1184.1,299.8,933.8,183.6,2032.5,1388.4,11.3,86.8,3.6
5.7,1012.3,36.2,777.7,301.2,1132.3,166.8,1102.5,1270.6,0.8,80.2,2.4
6.4,1189.7,40.3,999.4,376.9,923.3,209,1470,1638.9,9.3,71.7,3
7,1054.2,37.9,819.2,380,1309.8,223,1024.1,1451.4,2.9,66.5,2
7.2,1139.8,42.4,962,369.7,1051.3,172.7,1487.6,1562.1,10.7,74,3.3
4.5,785.6,30,578.6,260.1,1282,177.6,903.2,779.7,7.1,51.3,2.6
8.1,1324.2,45.5,1181.6,556.1,599.8,318.6,1051.3,2231.9,1,96.5,2.4
7.2,1193.7,44.6,1123.4,465.8,852.4,235.6,1485.2,1829.4,6.1,76.2,3
5,1080.9,34.4,787.6,226.5,900.1,234.5,1293.3,1504.9,12.7,46.3,2.8
8.6,1545.2,52.7,1380.7,448.1,656.3,243.2,1928.5,2182.3,11.3,61.1,3
8.7,1401.9,50,1322.4,476.8,568.1,231,1989.2,2049.3,7.5,104.5,3.6
7.5,1134.1,46.5,1150,456.1,915.5,188,1527.5,1818,9,71.9,3.2
8.6,1332.1,50.3,1381.8,370.5,638.9,235.6,2152.5,1956.2,18.7,50.7,3.5
4.9,845.4,28.1,566.4,191,1455.6,118.7,1092.4,1094.1,7.9,60.9,2.8
6.4,999.1,39.2,855.4,307,1282.1,185.1,1376.4,1289.9,4.5,76.5,2.5
10.4,1705.8,54.9,1481.6,677.3,431.2,334.4,1739.8,2572.5,4.2,92.4,3
7.1,1267,45.8,1099.9,427.9,802.3,232.3,1446,1730.1,4.1,83.6,2.9
4.4,735.4,27.8,502.8,236,1433.1,59.7,1054.3,557.5,10.4,83.4,3.1
5.7,930.5,36.6,844.3,361.6,1197.6,214.6,792.7,1357.4,5.3,53.1,2.1
4,796.5,32.6,700.5,241.9,1353.6,122.4,1145.6,1243.7,5.6,76,2.7
5.2,1122.3,40,836.5,357.2,976.7,161.1,1318.1,1433.7,7.5,85.6,3.2
7,1223.1,42,979.3,513.8,890.2,211.5,1157.1,1926.8,0.8,87.4,2.5
8.7,1483.6,51.5,1308.1,522.9,647.5,324.8,1598.2,2545.9,7.8,66.6,2.7
8,1230.5,51.1,1243.9,493.3,1048.1,215.2,1630.5,1947.1,8,57.1,2.7
5.5,1183.1,37.5,931.9,355.9,633.1,229,1053.3,1612.7,6.2,66.5,2.7
8.1,1313.9,49,1254.4,502,834.4,234,1664,1785.8,7.7,65.2,2.7
5.7,1037.6,36.6,859.7,223.5,874.3,173.1,1428.8,1380.2,12.8,58.9,3.2
3.6,789,21.2,334.4,169.2,1120.8,120.7,784.7,991.2,5.2,89.1,3.1
7,1081.4,44.8,1136.3,274.6,609.9,215.4,1900.2,1864.4,15.9,61.3,3.6
8.1,1433.5,54.5,1449.5,546.2,684.7,300.6,1706.8,2576.8,6.9,74.4,2.9
6.3,1174.5,45.5,1071.3,360.1,878.8,175.5,1595.3,1505.6,9.3,88.3,3.2
7.1,1381.9,45.6,1179.7,404.2,832.2,237.2,1716.1,1711.1,11.8,39.8,2.8
7.7,1088.7,46.3,1129.9,397.8,1408.1,251.8,1477.7,1715.4,8.4,31.7,2.2
9.1,1368.2,49.1,1214.6,416.7,953.9,190.7,1778.4,1737.3,9.9,77,3.3
5.4,1021,40.4,930.6,276.6,945.5,209.9,1559.3,1406.5,9,72,3.1
5.8,920.7,33.5,708.7,341.1,1049.1,197.8,1026.3,1312.7,10.7,54.2,2.8
7.4,1231,47.6,1165.3,415.4,970.3,221.8,1655.1,1794,4,88.6,2.8
7.2,1183.9,44.3,994.9,317.2,1278.5,156.1,1606.6,1494.6,13.9,45,3.1
4.2,837.1,31.3,602,120.6,1780.5,115.6,924.6,904.1,4.9,37.3,2
7.1,1105.9,43.9,1057.9,290.5,909.1,170.8,1666.2,1505.7,7.9,74.1,3.2
5.6,1136.2,38.6,967,269.3,1036.5,172.6,1615.3,1451,10.8,69.4,3.2
7.2,1188.3,42.4,1115.2,375,921.8,244,1591.5,1435.8,13.5,44.9,3
6.3,1225.3,37.1,958.5,284.5,658.1,252.7,1270.4,1794.9,8,48.5,2.8
4.6,773.7,36.2,795.4,187.2,1340.4,145.9,1742.8,1254.2,13.5,63.5,3.2
7.6,1311,48.8,1168.7,390.7,895.7,218.2,1651.2,1707.8,5.2,72.6,2.8
10.2,1777.5,57.7,1603.2,533,712.5,273.7,1977.4,2338.2,11.3,64,2.9
7.2,1222.5,48.5,1216,392,838.8,215.8,1739.4,1987.7,11.2,58.6,3.3
5.2,1026.8,32.1,694.8,201.5,971.8,152.3,1179.2,1188.7,8.6,66.6,3.1
6.8,1250.4,46.2,1122.8,449.5,651.7,260.7,1483.4,1951.8,6.7,68.3,2.9
3.7,814.2,25,451.2,234.5,1237.2,232.9,643.9,1148.5,9.3,37.2,2.2
5.4,1004.1,29.1,673.4,284.1,1043.9,194.7,1131.9,1266.5,7.8,67.8,2.8
7.1,1155.1,45.7,1159.8,524.7,758.6,278.4,1379.2,1954.8,2.7,78.7,2.7
7.7,1346.1,43.9,1170.9,349.2,716.2,241,1603.7,1917.4,10.7,51.7,2.8
9.3,1431.8,51.4,1248.8,604.8,626.9,205.5,1376.3,2043.9,1.1,90.9,2.5
4.3,671.8,30.8,567.6,225.8,1406.3,136.9,1004.9,1046.4,6.7,60.4,2.6
5.4,1019.4,33.9,795.7,265.3,1014.2,191.2,1101.8,1207.1,4.8,62.8,2.8
6.8,1142.3,40.3,998.7,270.9,930.4,163,1662.1,1653.3,9.7,63.4,3.1
5,1016.2,33.8,760,196.9,1215.5,174.6,1317,1396.6,14.5,35.2,2.9
5.3,1076.2,33.9,735.4,262.8,1082.6,160,1297.1,1448.1,7,86.3,3.2
3.5,724.9,27.7,484.8,75.7,1267.9,91.9,995.2,621.6,10.5,56.8,3
7.1,1136.8,40.3,974.2,366.1,670.2,234.1,1305.7,1794.4,9,71.2,3.2
5.9,1293.7,41.4,1068.9,320,675.4,190.3,1574.1,1891.3,7.4,93.7,3.2
6.2,1154.4,40.5,948.6,340.5,979,161.6,1673.7,1372.9,10.3,87,3.7
6.1,1045.9,42.3,1008.4,299.5,1037.7,144.6,1702.5,1383.6,13.9,56.6,3.3
4.7,1011.4,29.4,628.3,324.4,928.2,204.9,1123.9,1246.7,7.2,83.4,3.2
7.3,1102.2,42.4,1030,456.8,891.9,236.4,1219.9,1734,6.4,56,2.7
6.5,1286.6,46.8,1176.7,298.7,1146.1,165.2,1742.2,1523.9,11.3,46.2,2.7
6,1081,37.3,855,376,944,194.2,1231.9,1355.5,10,69.3,3
5.2,1194.1,41.3,982.8,219.5,934.8,163.2,1776.8,1267.1,14.9,57.2,3.5
4.5,772.6,24.7,387.6,225.1,1308.1,195.8,570.2,706.2,2.8,64.9,2.4
5.7,995,35.1,719.5,387.9,1114.1,207.3,1018.9,1224.1,6.8,82.7,2.8
7.9,1300.9,49.9,1270.9,419.1,809.8,201.6,1770.8,1860.1,10.4,74.1,3.1
7.6,1397.5,51,1349.2,454.1,602.8,288.5,1834.6,2218.9,13,67.9,3.4
8.1,1246.9,50.2,1242.5,480.1,1121.5,215.7,1714.1,2032.4,13.3,54.4,3.1
5.3,916.2,33.2,732.8,212.9,1295.4,152.6,1440.3,1093.9,11.7,73,3.4
5.2,1086.3,31.2,689.5,286.6,1222.1,220.5,772.1,1479.8,2.9,62.1,2.1
6.5,1199,40.5,948,272.4,1014,152.5,1723.8,1524,10.3,78.3,3.5
7.6,1534.7,46.9,1269.7,463.2,488.8,279.9,1580.7,2354.1,9.3,54,2.7
6,1004.9,36.3,791.6,347.5,1283.8,192.6,999.3,1024.7,7.5,42.3,2.2
5.2,924.9,35.1,712.6,242.9,1366.3,148.9,1198,1140.1,2,80.2,2.4
7.8,1462,47.7,1216.4,353,850.9,218.5,1835.5,1726.4,8.9,76,3.2
5.9,1132.2,41.1,898.9,364.3,945.7,191.5,1448.3,1454.3,9.4,78.3,3.2
5.5,812.9,30,579.7,323.2,1170.1,156.4,955.8,1081.7,4.2,77.9,2.5
4.1,759.2,31,640.3,176.3,1307.6,157.8,1202.9,916.1,14.7,34.6,3
6.2,1178,44.7,1087.3,362.1,879.9,197.6,1638.3,1355.3,10,70.5,3.2
9,1522.5,54,1412.1,508.2,821.1,269.4,1835.8,2296.3,7.3,68,2.9
4.6,911.8,34.3,799.2,270.8,1005.4,172.5,1276.2,1040.4,12.6,50.4,3
6.1,1088.2,41.3,1027.2,363.1,584.8,217.2,1645.9,1533.5,12.2,66,3.6
4.7,913.4,31.3,636.8,197.6,1264.6,118.3,1357.9,750.8,11.2,74.6,3.2
3.9,967.1,27.4,525.1,196.9,1139.4,127.9,1168.7,956.4,10.1,88.8,3.5
3.9,784.5,26,470.1,179,1085.5,134.4,939.8,855.1,8.2,65.1,2.8
6.1,1139.4,43.8,1119.3,403.5,829.4,235.1,1713,1579.6,10.1,76.2,3.1
6.4,1063.7,40,940.3,347.8,962.8,163.3,1477.5,1615.4,11,78.4,3.5
7.9,1471.4,48.3,1250.8,426.2,740,252.7,1869.5,2223.9,14.3,56.6,3.3
5.8,1008.7,38.1,889,355.9,840.5,218.8,1275,1329.5,7.5,62.2,2.7
8.1,1342.7,51.7,1448.9,335.2,748.1,250.4,1916.9,1831,10.4,61.1,3
7.7,1298.4,44.8,1103.5,466.1,902.6,204,1388,1848.2,4.1,78.6,2.8
4,586.7,22.5,332.8,196.9,1545.3,159.1,767.9,698.7,6.1,68.7,2.5
5.1,1004.7,31.9,646.4,261.2,1166.2,188.3,1119.9,1173.2,8.4,78.6,3
6.9,1286.8,40.6,993.1,358.5,764.5,179.5,1826.2,2013,10.9,95,3.8
6.2,1082.9,35.9,756.4,339.9,863.4,182.1,1079.9,1554.6,2.8,101.8,3
6.4,1239,39,887.4,338,1136.1,156.1,1468.2,1517.4,11.4,83.5,3.4
6.8,1141.3,45.3,1163.3,284.1,996.2,184.2,1669,1455.8,16,27.4,3
7.8,1206.6,46.5,1156.2,335.8,1063.2,167.8,1891.4,1558,13.4,69.8,3.6
7.2,1209.5,42,918.7,464.1,1077.7,225.1,1207.4,1581.2,5.3,91.6,3
6.1,1080.4,41.1,933.1,411.4,1300.7,164.1,1425.2,1577.5,9.4,73,3.1
5.9,1037.9,33.1,754.2,310,985.1,163.2,1402.3,1499.4,3.1,99.5,3.3
7.4,1162.3,44.7,1146.3,281.5,906.9,200,1639.3,1280.6,16.9,31.2,2.7
6.8,994.3,40.4,911,357.3,901.9,177.6,1451.1,1344.7,4.9,90.8,3.4
7.9,1024.5,42.6,1017,307.3,1185.4,168.4,1552.9,1291,9.6,47.4,2.6
6,859.7,36.5,821.2,343.9,902.9,238.7,910.5,1345.8,6.4,59.3,2.6
6.4,1082.3,34.5,766.3,365.3,1141.1,255,828,1732.7,3.1,59.7,2.2
5.8,1047.1,42.5,998.6,289,1268.4,180.8,1613.6,1478.5,11.1,52.5,2.8
4.6,806.5,27.8,570.7,262.9,1178.5,188.4,891.7,1046.3,7,67.3,2.9
5.8,1027,39.4,901.9,175.5,941.4,136.3,1663.4,1023.2,13.2,63.1,3.4
8.3,1610.5,48.1,1361.6,525.6,329.7,333.2,1560.2,2544.5,3.7,81.9,2.7
7.7,1217.2,52.3,1362.8,375.6,899.6,172.3,2173,1625.5,17.5,52.2,3.8
6.1,1028,37.5,874.3,265.9,959.3,207,1349.5,1345.5,7.6,67.7,2.9
8.5,1436.3,51,1313.5,500.3,714.7,247.5,1794.1,2011.9,8.3,79.8,3.2
5.6,974.6,33.8,704.8,351.4,951.8,217.4,896.1,1438.6,4.5,58.1,2.4
6.3,1083.3,34.6,651.6,239.4,1332.6,166.2,1335.2,1351,9,71.6,3
4.9,1042.4,30.9,677.2,239.9,1061.3,196.2,1204.7,1321.5,11,66.9,3.1
5.8,1251.4,39.3,914,354.4,755.9,141.8,1605,1545.7,10.1,90.6,3.6
6.4,1195.3,41.8,1004.5,269.5,806.9,181.8,1689.5,1563.6,8.3,83.2,3.2
6.6,1171.5,41.7,1038.8,331.9,1056.7,171.1,1633.5,1661.6,10.1,66.4,3.3
7.1,1350.8,44.2,1117.7,371.2,794.6,208.9,1764.9,1887.5,7.7,93.6,3.4
6.2,929.3,37.1,782.2,264.5,1219,239.9,1132.6,1256.9,5.8,63.2,2.5
9.6,1582,55.2,1498.2,592.1,615.3,282.6,1869,2453.9,10.9,73.7,3.1
7.3,1113.5,44.3,1100,408.2,1181.3,249.6,1495.8,1734.6,11.6,43.9,2.8
