"acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence"
0.01,1.64,229.26,0.21,0.15,0.22,-10.58,0.26,174.68,0.09
0.09,1.64,200.55,0.33,0.07,0.25,-7.8,0.01,139.98,0.71
0.15,1.51,214.83,0.99,0.41,0.45,-5.32,0.04,143.38,0.1
0.03,1.82,252.71,0.22,0.06,0.22,-6.03,0.05,163.74,0.08
0.02,1.76,269.79,0.95,0.15,-0.03,-9.34,0.12,123.73,0.06
0.05,1.7,251.53,0.53,0.08,0.36,-2.9,0.07,109.22,0.21
0.03,1.47,158.91,0.73,0.23,0.01,-8.55,0.3,145.4,0.06
0.01,1.58,186.03,0.7,0.04,0.18,-4.03,0.06,159.44,0.38
0.24,1.86,300.85,0.3,0.06,0.24,-9.72,0.1,136.21,0.86
0.09,1.83,275.94,0.49,0.06,0.13,-13.05,0.02,73.95,0.42
0.19,1.88,283.98,0.86,0.13,0.45,-7.63,0.01,110.65,0.83
0.01,1.74,164.56,0.78,0.05,0.16,-9.47,0.07,133.14,0.36
0.1,1.37,181.57,0.58,0.21,0.35,-6.05,0.08,132.02,0.31
0.42,1.83,207.14,0.71,0.26,-0.04,-4.56,0.15,93.83,0.05
0.58,1.74,114.66,0.56,0.12,0.17,-7.43,0.17,127.09,0.71
0.08,1.7,146.52,0.71,0.41,0.38,-7.91,0.19,104.74,0.01
0.3,1.56,251.17,0.83,0.13,0.31,-4.22,0.02,111.43,0.23
0.03,1.7,292.48,0.23,0.22,0.4,-6.79,0.2,143.85,0.89
0.08,1.68,245.99,0.97,0.22,0.4,-6.27,0.01,139.3,0.36
0,1.41,136.48,0.61,0.38,0.1,-6.97,0.06,177.71,0.43
0.09,1.55,275.42,0.59,0.12,0.12,-4.13,0.13,118.17,0.85
0.24,1.66,254.84,0.68,0.19,0.09,-7.19,0.1,120.84,0.82
0.29,1.78,330.99,0.89,0.21,0.18,-5.36,0.04,145.72,0.16
0.03,1.43,252.21,0.65,0.79,0.15,-4.14,0.11,125.84,0.15
0.11,1.4,219.59,0.38,0.26,0.25,-6.47,0.13,141.42,0.29
0,1.28,231.73,0.69,0.18,0.03,-7.26,0.04,108.14,0.31
0.22,1.66,209.53,0.45,0.01,0.23,-6.91,0.38,103.43,0.49
0.16,1.8,455.58,0.7,0.34,0.35,-10.49,0.07,98.23,0.92
0.04,1.91,322.79,0.45,0.03,0.16,-5.64,0.06,89.47,0.09
0.23,1.75,245.54,0.59,0.1,0.19,-4.75,0.13,135.08,0.32
0.19,1.89,219.42,0.33,0.2,0.31,-9.23,0.01,136.92,0.1
0.61,1.59,346.58,1,0.23,0.29,-6.14,0.03,113.69,0.66
0.1,1.66,371.1,0.45,0.05,0.01,-5.19,0.08,113.71,0.04
0.28,1.36,522.47,0.76,0.11,0.38,-0.59,0.05,153.49,0.41
0.23,1.62,292.7,0.99,0.03,0.29,-5.97,0.03,105.48,0.47
0.07,1.43,197.94,0.98,0.08,0.33,-6.02,0.14,181.11,0.72
0.18,1.65,284.53,0.73,0.07,0.25,-13.18,0.17,97.61,0.19
0.1,1.68,187.66,0.34,0.03,0.39,-3.73,0.26,73.28,0.86
0.09,1.52,307.36,0.41,0.06,0.41,-7.26,0.01,118.49,0.59
0.12,1.44,166.5,0.77,0.16,0.32,-7.11,0,188.23,0.38
0.13,1.55,371.97,0.32,0.17,0.15,-8.84,0.04,130.81,0.18
0.12,1.45,108.4,0.21,0.33,0.11,-7.19,0.06,148.41,0.6
0.2,1.42,362.34,0.82,0.23,-0.08,-6.48,0.06,146.5,0.14
0.15,1.52,400.15,0.72,0.51,0.29,-6.97,0.05,76.72,0.32
0.05,1.36,305.42,0.4,0.18,0.4,-2.78,0.06,152.29,0.05
0.12,1.52,359.7,0.47,0.01,0.05,-5.42,0.03,199.19,0.3
0.08,1.2,215.58,0.37,0.01,0.4,-9.36,0.17,154.28,0.92
0.06,1.55,298.15,0.98,0.06,0.19,-8.97,0.12,101.34,0.17
0.39,1.65,344.8,0.44,0.14,-0.08,-8.15,0.38,123.99,0.32
0.7,1.53,238.92,0.48,0.24,0.24,-7.71,0.06,141.96,0.45
0.08,1.53,225.97,0.48,0.06,0.22,-4.96,0.06,138.55,0.66
0.23,1.66,203.21,0.76,0.02,-0.24,-4.13,0.16,111.59,0.08
0.77,1.55,229.53,0.54,0.02,0.36,-6.2,0.03,95,0.18
0.1,1.33,304.44,0.44,0.39,0.17,-6.11,0.13,113.55,0.62
0.05,1.7,229.82,0.77,0.06,0.41,-1.94,0,150.79,0.03
0.11,1.64,422.56,0.45,0.61,0.15,-6.57,0.22,100.7,0.61
0.26,1.62,428.73,0.99,0.09,0.14,-6.2,0.06,143.45,0.05
0.1,1.59,237.28,0.99,0.15,0.2,-9.04,0.05,143.17,0.96
0.06,1.84,200.37,0.64,0.05,0.2,-12.5,0.09,115.51,0.82
0.03,1.79,346.32,0.87,0.21,0.32,-5.39,0.01,161.62,0.24
0.18,1.54,238.06,0.91,0.21,0.07,-2.04,0.06,137.38,0.01
0.12,1.4,216.43,0.8,0,0.09,-8.74,0.07,136.7,0.61
0.42,1.63,270.06,0.32,0.08,0.08,-8.73,0.2,137.99,0.17
0.04,1.63,234.25,0.79,0.25,0.12,-5.74,0.05,127.44,0.55
0.19,1.67,341.45,0.23,0.02,-0.16,-4.35,0.18,87.2,0.87
0.1,1.64,270.83,0.8,0,-0.04,-5.34,0.05,92.46,0.91
0.05,1.69,293.81,0.82,0.03,0.01,-12.01,0.12,116.01,0.29
0.12,1.78,243.95,0.45,0.06,0.12,-7.36,0.04,116.55,0.63
0.2,1.66,241.14,0.23,0.18,0.24,-10.24,0.1,119.27,0.13
0.44,1.41,251.39,0.85,0.24,0.05,-4.75,0.06,113.61,0.42
0.16,1.35,209.51,0.25,0.04,0.3,-7.51,0.01,92.05,0.72
0.2,1.7,173.56,0.76,0.07,0.23,-5.45,0.08,106.48,0.29
0.26,1.32,173.19,0.44,0.09,0.27,-8.25,0.1,110.98,0.21
0.29,1.45,268.33,0.52,0.01,-0.02,-6.09,0.04,153.89,0.66
0.06,1.9,399.93,0.21,0.12,0.11,-4.14,0.02,141.06,0.64
0.21,1.76,178.21,0.64,0,0.27,-11.3,0.04,106.98,0.62
0.09,1.54,215.44,0.23,0.16,0.41,-7.82,0.01,129.25,0.74
0.15,1.6,216.96,0.36,0,0.02,-6.18,0.02,98.24,0.95
0.02,1.81,183.58,0.33,0,0.26,-2.59,0.11,153.32,0.09
0,1.45,234.33,0.43,0.07,0.3,-8.22,0.09,61.83,0.28
0.25,1.42,219.79,0.42,0.25,0.17,-6.49,0.02,80.7,0.8
0.3,1.8,231.64,0.3,0.21,0.29,-6.61,0.02,98.4,0.84
0.12,1.65,378.66,0.32,0.02,-0.02,-14.78,0.08,159.52,0.56
0.14,1.85,159.11,0.31,0.07,0.5,-9.28,0.06,137.37,0.76
0.02,1.29,144.21,0.95,0.24,0.13,-3.35,0.04,116.08,0.02
0.12,1.4,275.72,0.94,0.04,0.1,-6.89,0.01,137.79,0.52
0.1,1.58,294.84,0.84,0.07,0.3,-6.8,0.01,70.33,0.68
0.21,1.74,238.92,0.98,0.05,0.17,-7.53,0.39,153.48,0.41
0.22,1.63,301.06,0.93,0.09,0.19,-9.27,0.34,141.6,0.83
0.01,1.5,209.58,0.61,0.02,-0.25,-6.83,0.03,160.6,0.75
0.28,1.67,321.32,0.67,0.05,0.25,-4.09,0.05,172.73,0.18
0.03,1.58,92.63,0.63,0.22,0.22,-12.09,0.12,154.02,0.45
0.03,1.8,213.42,0.91,0.05,0.04,-5.61,0.09,116.07,0.3
0.22,1.33,134.27,0.86,0.05,0.15,-2.99,0.07,70.71,0.83
0,1.5,275.63,0.7,0.36,0.32,-3.52,0.04,107.52,0.57
0.02,1.44,204.77,0.45,0.09,0.29,-3.18,0.06,124.91,0.31
0.14,1.45,397.56,0.94,0.14,0.13,-7.34,0.04,71.84,0.99
0.33,1.45,272.94,0.56,0.45,0.25,-9.58,0.03,120.97,0.62
0.22,1.53,341.51,0.55,0.15,0.18,-5.98,0.02,114.03,0.32
0.06,1.83,208.34,0.74,0.24,0.1,-5.2,0.31,111.98,0.17
0.27,1.46,240.1,0.48,0.03,0.12,-12.38,0.01,145.57,0.56
0.21,1.43,353.99,0.75,0.25,0.41,-9.97,0.24,154.98,0.05
0.83,1.7,250.85,0.88,0.04,0.26,-10.13,0.04,108.26,0.72
0.01,1.48,271.44,0.72,0.02,0.25,-8.78,0.2,132.08,0.19
0.16,1.28,305.79,0.47,0.21,0.26,-9.48,0.07,125.9,0.05
0.46,1.3,193.09,0.69,0.07,0.12,-7.36,0,131.41,0.32
0.11,1.97,413.24,0.67,0.15,0.48,-7.02,0.09,123.25,0.29
0.1,1.76,164.82,0.51,0.07,0.4,-7.6,0.02,141.12,0.82
0.33,1.95,372.34,0.87,0.45,0.23,-4.31,0.02,152.18,0.49
0.2,1.67,245.72,0.61,0.31,0.37,-1.87,0.06,119.87,0.17
0.01,1.58,158.98,0.55,0.1,0.07,-9.56,0.01,139,0.54
0.12,1.9,332.9,0.77,0.24,0.16,-7.7,0.08,117.69,0.18
0.08,1.6,235.15,0.83,0.09,0.37,-8.31,0.05,127.7,0.43
0.28,1.51,282.85,0.45,0.21,0.13,-3.78,0.08,141.48,0
0.29,1.52,367.29,0.82,0.22,0.11,-5.97,0.02,161.46,0.67
0.25,1.66,349.36,0.65,0.13,0.18,-3.79,0.04,89.74,0.61
0.18,1.24,223.56,0.41,0.04,0.1,-3.99,0.01,106.74,0.19
0.26,1.42,307.67,0.9,0.3,0.45,-8.31,0.02,108.55,0.32
0.13,1.92,207.4,0.75,0.06,0.28,-7.84,0.17,100.47,0.34
0.95,1.47,158.75,0.33,0.14,0.26,-2.93,0.02,119.05,0.07
0.17,1.44,252.87,0.69,0,0.08,-6.11,0.02,122,0.04
0.04,1.7,175.74,0.22,0,0.12,-9.94,0.13,92.62,0.46
0.14,1.62,152.42,0.82,0.45,0.17,-12.02,0.01,94.22,0.1
0.31,1.7,340.75,0.67,0.17,-0.2,-4.28,0.06,132.54,0.87
0.23,1.65,335.41,0.51,0.14,-0.18,-11.35,0,99.55,0.4
0.46,1.68,269.34,0.98,0.08,0.36,-8.21,0.02,121.74,0.49
0.22,1.68,107.73,0.26,0.01,0.08,-11.17,0.05,128.01,0.69
0.15,1.41,391.3,0.48,0.01,0.34,-6.21,0,140.71,0.04
0.75,1.39,258.76,0.66,0.11,0.38,-9.28,0.11,107.13,0.65
0.09,1.48,187.95,0.26,0.23,0.09,-5.61,0.26,171.43,0.97
0.37,1.68,198.21,0.95,0.08,0.29,-6.71,0.11,89.82,0.22
0.11,1.66,270.81,0.77,0.06,0.27,-9.8,0.05,147.15,0.05
0.01,1.65,150.27,0.75,0.09,0.31,-12.23,0.11,108.72,0.26
0.21,1.61,262.96,0.36,0.08,0.28,-5.71,0.06,92.46,0.76
0.05,1.62,328.33,0.92,0.1,0.12,-11.45,0.12,88.86,0.44
0.1,1.73,154.93,0.92,0.19,0.17,-5.51,0.12,101.87,0.8
0.18,1.63,337.25,0.95,0.12,-0.09,-3.79,0.12,124.47,0.6
0.11,1.44,137.04,0.68,0.14,0.22,-4.24,0.09,110.23,0.77
0,1.62,272.78,0.88,0.1,0.26,-8.39,0.18,114.74,0.89
0.01,1.29,191.93,0.85,0.19,0.09,-5.82,0.18,122.59,0.3
0.01,1.46,280.47,0.96,0.11,-0.01,-6.81,0.13,101.59,0.51
0.03,1.82,221.19,0.35,0.14,0.48,-8.45,0.07,123.04,0.71
0.15,1.49,266.66,0.34,0.23,0.06,-7.32,0.02,68.46,0.98
0.13,1.4,187.91,0.98,0.52,0.35,-4.85,0.04,108.38,0.08
0.4,1.48,170.08,0.9,0.75,-0.08,-8.55,0.07,62.68,0.26
0.24,1.56,178.62,0.22,0.04,0.14,-7.31,0.23,117.82,0.47
0.14,1.38,143.69,0.38,0.03,0.09,-11.29,0.2,135.6,0.67
0.09,1.48,175.57,0.46,0.25,0.17,-5.19,0.1,98.14,0.79
0.34,1.46,225.06,0.73,0.19,0.53,-8.44,0.12,96.06,0.07
0.09,1.41,235.81,0.76,0.06,0.3,-8.84,0.16,146.31,0.27
0.31,1.4,295.57,0.35,0.02,0.41,-6.64,0.03,133.01,0.29
0.15,1.6,277.33,0.54,0.35,0.19,-4.51,0.15,126.94,0.38
0.62,1.92,194.43,0.7,0,0.25,-5.44,0.16,101.42,0.73
0.15,1.52,220.45,0.85,0.37,-0.02,-8.61,0.05,116.82,0.9
0.65,1.58,301.86,0.52,0.12,0.29,-9.28,0.07,135.04,0.93
0.28,1.72,169.49,0.99,0.05,0.12,-11.39,0.04,149.13,0.82
0.31,1.24,231.62,0.96,0.02,0.24,-7.45,0.18,91.88,0.15
0.07,1.34,207.39,0.99,0.15,0.29,-7.86,0,116.06,0.28
0.15,1.55,218.03,0.86,0.25,0.36,-9.63,0.47,129.07,0.66
0.35,1.69,206.61,0.66,0.05,-0.02,-7.78,0.13,145.91,0.09
0.04,1.33,270.44,0.29,0.07,0.34,-7.59,0.01,127.76,0.69
0.18,1.6,271.16,0.37,0.07,0.05,-5.49,0.31,88.59,0.24
0.19,1.26,240.91,0.6,0.03,0.03,-7.09,0.09,99.16,0.27
0.1,1.66,296.55,0.37,0.41,-0.08,-9.53,0.07,95.28,0.31
0.03,2.07,308.67,0.53,0.04,0.16,-5.61,0.02,96.24,0.48
0.2,1.43,291.21,0.93,0.09,0.14,0.14,0.26,92.75,0.46
0.01,1.53,238.38,0.86,0.13,0.15,-10.25,0.02,89.46,0.22
0.15,1.44,205.05,0.64,0.28,-0.01,-2.64,0.04,112.14,0.34
0.13,1.47,364.04,0.98,0.01,0.24,-4.64,0.19,114.06,0.15
0.02,1.54,218.24,0.52,0,0.19,-8.08,0.28,157.39,0.55
0.12,1.65,240.43,0.46,0.23,0.1,-6.24,0.03,164,0.84
0.1,1.49,173.86,0.75,0.33,0.14,-11.4,0.05,141.81,0.99
0.13,1.5,89.76,0.54,0.09,0.25,-3.88,0.03,130.58,0.27
0.3,1.79,274.1,0.27,0.22,0.29,-6.41,0.26,93.58,0.58
0.32,1.57,138.17,0.68,0.12,0.27,-10.14,0.07,97.61,0.31
0.56,1.64,196.45,0.21,0.12,0.29,-4.42,0.12,101.98,0.83
0.11,1.73,296.8,0.45,0.23,-0.08,-9.51,0.11,102.77,0.78
0.47,1.42,205.75,0.25,0.11,0.18,-6.65,0.02,117.19,0.15
0.17,1.48,197.5,0.93,0.05,-0.07,-9.38,0.03,80.65,0.56
0.01,1.9,295.75,0.85,0.11,0.21,-6.43,0.11,118.67,0.69
0.35,1.12,237.75,0.3,0.07,0.2,-9.47,0.14,189.28,0.32
0.04,1.65,201.74,0.92,0,0.06,-3.57,0.1,96.44,0.65
0.12,1.51,286.95,0.55,0.01,0.1,-4.36,0.02,98.49,0.76
0.36,1.57,245.83,0.49,0.11,0.2,-6.42,0.02,151.63,0.19
0.2,1.84,400.75,0.9,0.21,0.04,-10.27,0.04,171.15,0.63
0.59,1.44,306.04,0.33,0.3,0.14,-8.85,0.05,147.04,0.07
0.41,1.73,266.32,0.77,0.04,0.09,-3.28,0.33,123.63,0.55
0.18,1.67,241.42,0.92,0.05,0.24,-8.13,0.14,110.67,0.81
0,1.65,195.03,0.54,0.09,0.19,-7.39,0,141.55,0.08
0.11,1.27,385.85,0.49,0.44,0.39,-10.68,0.02,181.92,0.22
0.1,1.61,94.04,0.99,0.25,0.45,-9.12,0.06,112.43,0.21
0.25,1.71,364.81,0.98,0.44,0.36,-2.8,0.09,151.06,0.3
0.01,1.85,227.56,0.3,0.09,0.41,-4.2,0.11,114.89,0.37
0.22,1.92,385.1,0.78,0.2,0.1,-6.4,0.02,94.01,0.25
0.01,1.51,263.6,0.5,0.02,0.29,-5.84,0,91.06,0.29
0.19,1.73,474.24,0.32,1.08,0.1,-12.48,0.35,92.91,0.47
0.33,1.7,200.95,0.21,0.15,0.12,-5.12,0.16,154.21,0.57
0.09,1.54,182.17,0.91,0.07,-0.02,-11.48,0.1,117.17,0.35
0.12,1.54,229.13,0.99,0.11,0.25,-4.76,0.04,100.83,0.13
0.04,1.52,241.19,0.48,0.29,-0.01,-8.11,0.04,105.78,0.04
0.02,1.48,148.87,0.68,0.04,0.13,-4.91,0,130.94,0.56
0.14,1.67,386.6,0.69,0.08,0.26,-10.71,0.26,55.9,0.01
0.07,1.61,197.18,0.49,0.15,0.35,-1.3,0.01,86.28,0.26
0.31,1.72,326.82,0.4,0.15,0.04,-7.35,0.06,89.03,0.81
0.38,1.68,235.24,0.28,0.05,0.06,-5.77,0.27,96.36,0.04
0.15,1.42,214.06,0.43,0.23,0.07,-11.11,0.14,120.6,0.9
0.25,1.87,229.45,0.88,0.09,0.28,-11.22,0.04,141.32,0.63
0.88,1.67,252.56,0.21,0.25,0.24,-2.95,0,134.68,0.43
0.01,1.6,143.28,0.21,0.04,0.4,-2.84,0,137.67,0.96
0.1,1.72,153.34,0.98,0.06,-0.16,-2.43,0.09,152.9,0.33
0.13,1.51,359.64,0.92,0.31,0.02,-8.72,0.1,93.49,0.35
0.44,1.53,275.81,0.59,0.11,0.12,-3.72,0.15,93.27,0.47
0.17,1.84,209.45,0.23,0.12,0.15,-7.65,0.29,131.12,0.32
0.11,1.61,284.45,0.34,0.27,0.23,-9.69,0.01,132.34,0.98
0.37,1.28,331.63,0.63,0.16,0.11,-5.34,0.02,95.33,0.04
0.17,1.59,192.15,0.69,0.25,0.22,-7.75,0.21,100.55,0.72
0.17,1.73,277.35,0.3,0.19,-0.09,-6.19,0.25,141.99,0.54
0.51,1.35,378.57,0.64,0.17,0,-7.99,0.09,102.89,0.39
0.36,1.64,360.92,0.8,0.47,0.11,-9.72,0.12,111.79,0.29
0.11,1.32,261.4,0.61,0.2,-0.02,-11.03,0.08,132.6,0.51
0.05,1.22,278.78,0.68,0.16,0.09,-6.49,0.05,71.58,0.32
0.43,1.54,125.48,0.94,0.3,0.15,-6.07,0.08,101.04,0.71
0.05,1.4,207.66,0.65,0.13,0.39,-2.2,0.14,155.13,0.86
0.35,1.27,344.68,0.23,0.12,0.38,-11.03,0.12,154.26,0.26
0.2,1.69,290.56,0.48,0.43,0.18,-11.5,0.12,137.09,0.98
0.18,1.34,178.63,0.77,0.47,0.22,-8.98,0.15,112.67,0.21
0.21,1.58,262.84,0.96,0.39,0.11,-4.53,0.05,100.57,0.79
0.6,1.57,159.17,0.73,0.06,0.14,-4.68,0.06,74.45,0.83
0.2,1.53,211.08,0.67,0.15,-0.07,-6.2,0.27,120.16,0.61
0.26,1.79,317.14,0.47,0.26,0.2,-8.39,0.01,161.28,0.25
0.33,1.62,316.36,0.88,0.04,0,-4.65,0.01,162.18,0.58
0.03,1.58,188.48,0.64,0.2,0.23,-9.18,0.05,134.35,0.86
0.09,1.46,240.37,0.77,0.02,0.2,-12.54,0.43,101.15,0.32
0.15,1.69,333.37,0.33,0.04,0.07,-10.69,0.42,110.03,0.86
0.12,1.68,246.5,0.42,0,0.11,1.74,0,90.58,0.49
0.19,1.75,238.45,0.45,0.05,0.2,-8.49,0.03,102.35,0.27
0.04,1.39,348.73,0.9,0.07,0.39,-7.09,0.31,107.71,0.93
0,1.33,230.07,0.52,0.37,-0.1,-11.08,0.29,101.78,0.55
0.06,1.56,323.92,0.28,0.05,0.22,-4.44,0.09,119.82,0.49
0.04,1.74,268.56,0.81,0.28,0.3,-4.47,0.21,112.66,0.18
0.03,1.59,208.84,0.73,0.07,0.23,-6.25,0.04,117.42,0.8
0.15,1.55,288.17,0.66,0.14,0.36,-4.58,0.01,89.71,0.5
0.04,1.64,206.67,0.49,0.25,0.01,-2.76,0.02,156.55,0.85
0.03,1.4,209.96,0.28,0.1,0.41,-6.57,0.15,110.29,0.19
0.09,1.77,289.2,0.32,0.12,0.19,-5.52,0.02,132.47,0.35
0.57,1.49,297.34,0.48,0.06,0.09,-4.2,0.04,74.04,0.06
0.38,1.7,318.35,0.67,0.24,0.25,-9.25,0,147.8,0.2
0.12,1.6,112.73,0.51,0.5,0.1,-10.72,0.11,142.51,1
0.02,1.64,224.16,0.73,0.03,0.27,-5.86,0.02,118.98,0.94
0.05,1.93,338.67,0.71,0.42,0.18,-7.75,0.03,145.79,0.67
0.11,1.71,202.55,0.62,0.05,0.16,-4.45,0.07,132.06,0.3
0.83,1.74,275.23,0.38,0.12,0.19,-5.19,0.03,94.36,0.73
0.46,1.62,268.67,0.61,0.06,0.34,-7.56,0.01,91.04,0.01
0.2,1.66,286.75,0.81,0.03,0.06,-10.87,0.03,108.54,0.5
0.38,1.65,179.16,0.79,0.08,0.39,-7.77,0.04,134.12,0.09
0.33,1.59,420.59,0.65,0.04,0.17,-3.64,0.04,167.58,0.52
0.41,1.72,194.49,0.84,0.09,0.02,-9.51,0.04,102.85,0.07
0.38,1.62,264.48,1,0.3,0.18,-3.62,0.06,122.9,0.39
0,1.6,296.63,0.38,0.07,0.28,-4.51,0.09,160.2,0.93
0.72,1.67,317.26,0.49,0.35,0.43,-10.08,0.04,154.21,0.91
